nmse,rmse,ssim,psnr,mae,relative_error,brightest_point_distance,sharpness_ratio
0.030920585617423058,0.07557162642478943,0.9427545070648193,37.995845794677734,0.04786810651421547,0.4022875,1.4142135381698608,0.8196533045357779
0.22744379937648773,0.25882577896118164,0.7041409611701965,27.302873611450195,0.19899317622184753,0.66543955,109.55364227294922,0.5228730824617975
0.02440023235976696,0.10522831976413727,0.8997067213058472,35.12036895751953,0.0677846223115921,0.32422218,9.219544410705566,0.9673216497466548
0.020811280235648155,0.09278876334428787,0.9033961296081543,36.21311950683594,0.055892691016197205,0.417997,2.2360680103302,0.8421868063497119
0.19348469376564026,0.3102331757545471,0.6617568135261536,25.729259490966797,0.2399289309978485,0.56163573,5.830951690673828,0.5768941213701306
0.02953122742474079,0.13109037280082703,0.8317365646362305,33.21160888671875,0.08025926351547241,0.3091585,8.602325439453125,0.848947239869631
0.0674118772149086,0.13971883058547974,0.8907301425933838,32.65792465209961,0.09549877047538757,0.47124276,3.1622776985168457,0.6286077940209088
0.015590360388159752,0.07111439853906631,0.9511842131614685,38.52387237548828,0.04124686121940613,0.45127147,1.4142135381698608,0.9515117377275333
0.07209774106740952,0.12778127193450928,0.8935012817382812,33.433677673339844,0.08417102694511414,0.54859954,3.1622776985168457,0.6609294036160973
0.17028574645519257,0.1898217648267746,0.8755235075950623,29.996103286743164,0.14065319299697876,0.582481,25.961509704589844,0.6156413017589165
0.01785743422806263,0.08939807862043381,0.9123954772949219,36.536460876464844,0.056413907557725906,0.32422203,0.0,0.7761744205295468
0.006555216386914253,0.05730926990509033,0.956072986125946,40.39852523803711,0.03718214109539986,0.24101722,1.4142135381698608,0.8639730545300027
0.12308137863874435,0.23702993988990784,0.7519463896751404,28.066959381103516,0.16432613134384155,0.48161685,2.2360680103302,0.6922368035932658
0.02154039591550827,0.10232333093881607,0.8978421092033386,35.363529205322266,0.06425222009420395,0.3234275,0.0,0.7651812635534362
0.01315877865999937,0.08342967927455902,0.9555040001869202,37.13661193847656,0.05328806862235069,0.36335683,1.0,0.9846985491048474
0.01607864908874035,0.06820642203092575,0.94264155626297,38.88651657104492,0.03974112123250961,0.33169663,1.0,0.8018307700471544
0.34112775325775146,0.41193002462387085,0.5952399373054504,23.266555786132812,0.3294476270675659,0.66640204,148.7615509033203,0.9285345634541899
0.22959372401237488,0.30376696586608887,0.6393473744392395,25.912214279174805,0.24558547139167786,0.65811163,6.324555397033691,0.9862085227401373
0.021359017118811607,0.09409899264574051,0.9283849596977234,36.09132385253906,0.05741437152028084,0.3606754,1.0,0.8642407231057837
0.15611080825328827,0.28251445293426514,0.6406579613685608,26.542211532592773,0.19853530824184418,0.5161086,140.4314727783203,0.7325837493639487
0.20822134613990784,0.19580642879009247,0.7653734683990479,29.726486206054688,0.13733495771884918,0.72310555,122.09013366699219,0.7558138003094452
0.21913190186023712,0.3162713348865509,0.6209319829940796,25.561826705932617,0.21840976178646088,0.5258815,78.26238250732422,0.5882732496939109
0.17834138870239258,0.24425598978996277,0.8299996852874756,27.806119918823242,0.19268359243869781,0.5768421,1.0,1.0217341613645046
0.07823385298252106,0.15983779728412628,0.9076972603797913,31.48943328857422,0.10059680789709091,0.53916055,2.0,0.7409375538341059
0.19345049560070038,0.27883380651474,0.7914193272590637,26.65611457824707,0.2077132910490036,0.61839813,2.2360680103302,1.326054100762703
